28.01.2022 15:28:25	18,4	43
28.01.2022 15:28:39	18,5	43
28.01.2022 15:28:55	18,5	42
28.01.2022 15:29:08	18,5	42
28.01.2022 15:29:20	18,5	42
28.01.2022 15:29:32	18,5	41
28.01.2022 15:29:44	18,5	42
28.01.2022 15:29:50	18,5	42
28.01.2022 15:29:55	18,5	42
28.01.2022 15:30:07	18,5	41
28.01.2022 15:30:19	18,5	42
28.01.2022 15:30:31	18,5	43
28.01.2022 15:30:45	18,6	42
28.01.2022 15:31:00	18,7	42
28.01.2022 15:31:12	18,7	42
28.01.2022 15:31:28	18,7	41
28.01.2022 15:31:38	18,8	42
28.01.2022 15:31:53	18,8	42
28.01.2022 15:32:05	18,8	41
28.01.2022 15:32:22	18,8	41
28.01.2022 15:32:34	18,8	41
28.01.2022 15:32:50	18,8	41
28.01.2022 15:33:01	18,8	41
28.01.2022 15:33:14	18,8	41
28.01.2022 15:33:26	18,8	41
28.01.2022 15:33:39	18,9	40
28.01.2022 15:34:24	18,9	41
28.01.2022 15:35:08	19,0	41
28.01.2022 15:39:12	19,0	41
28.01.2022 15:39:24	19,1	40
28.01.2022 15:39:39	19,1	40
